Team,Odds,W-L O/U,Result,Year,id,name,short_name,conference,division
Brooklyn Nets,230,56.5,44-38 (under),2021,2,Brooklyn Nets,BKN,EAST,ATLANTIC
Brooklyn Nets,600,45.5,48-24 (over),2020,2,Brooklyn Nets,BKN,EAST,ATLANTIC
Brooklyn Nets,5500,43.5,35-37 (under),2019,2,Brooklyn Nets,BKN,EAST,ATLANTIC
Brooklyn Nets,125000,32.0,42-40 (over),2018,2,Brooklyn Nets,BKN,EAST,ATLANTIC
Brooklyn Nets,250000,27.5,28-54 (over),2017,2,Brooklyn Nets,BKN,EAST,ATLANTIC
Los Angeles Lakers,425,52.5,33-49 (under),2021,30,Los Angeles Lakers,LAL,WEST,PACIFIC
Los Angeles Lakers,275,47.5,42-30 (under),2020,30,Los Angeles Lakers,LAL,WEST,PACIFIC
Los Angeles Lakers,450,50.5,52-19 (over),2019,30,Los Angeles Lakers,LAL,WEST,PACIFIC
Los Angeles Lakers,1800,48.5,37-45 (under),2018,30,Los Angeles Lakers,LAL,WEST,PACIFIC
Los Angeles Lakers,30000,33.5,35-47 (over),2017,30,Los Angeles Lakers,LAL,WEST,PACIFIC
Milwaukee Bucks,850,54.5,51-31 (under),2021,10,Milwaukee Bucks,MIL,EAST,CENTRAL
Milwaukee Bucks,550,49.5,46-26 (under),2020,10,Milwaukee Bucks,MIL,EAST,CENTRAL
Milwaukee Bucks,550,57.5,56-17 (under),2019,10,Milwaukee Bucks,MIL,EAST,CENTRAL
Milwaukee Bucks,10000,48.0,60-22 (over),2018,10,Milwaukee Bucks,MIL,EAST,CENTRAL
Milwaukee Bucks,8000,47.5,44-38 (under),2017,10,Milwaukee Bucks,MIL,EAST,CENTRAL
Golden State Warriors,1100,48.5,53-29 (over),2021,29,Golden State Warriors,GSW,WEST,PACIFIC
Golden State Warriors,2500,37.5,39-33 (over),2020,29,Golden State Warriors,GSW,WEST,PACIFIC
Golden State Warriors,950,47.5,15-50 (under),2019,29,Golden State Warriors,GSW,WEST,PACIFIC
Golden State Warriors,-168,62.5,57-25 (under),2018,29,Golden State Warriors,GSW,WEST,PACIFIC
Golden State Warriors,-187,67.5,58-24 (under),2017,29,Golden State Warriors,GSW,WEST,PACIFIC
Utah Jazz,1400,52.5,49-33 (under),2021,20,Utah Jazz,UTA,WEST,NORTHWEST
Utah Jazz,4000,41.5,52-20 (over),2020,20,Utah Jazz,UTA,WEST,NORTHWEST
Utah Jazz,1300,53.5,44-28 (under),2019,20,Utah Jazz,UTA,WEST,NORTHWEST
Utah Jazz,10000,49.5,50-32 (over),2018,20,Utah Jazz,UTA,WEST,NORTHWEST
Utah Jazz,25000,40.5,48-34 (over),2017,20,Utah Jazz,UTA,WEST,NORTHWEST
Phoenix Suns,1400,51.5,64-18 (over),2021,22,Phoenix Suns,PHX,WEST,PACIFIC
Phoenix Suns,4000,38.5,51-21 (over),2020,22,Phoenix Suns,PHX,WEST,PACIFIC
Phoenix Suns,50000,29.5,34-39 (over),2019,22,Phoenix Suns,PHX,WEST,PACIFIC
Phoenix Suns,75000,29.0,19-63 (under),2018,22,Phoenix Suns,PHX,WEST,PACIFIC
Phoenix Suns,125000,28.5,21-61 (under),2017,22,Phoenix Suns,PHX,WEST,PACIFIC
Philadelphia 76ers,1600,50.5,51-31 (over),2021,4,Philadelphia 76ers,PHI,EAST,ATLANTIC
Philadelphia 76ers,2500,43.5,49-23 (over),2020,4,Philadelphia 76ers,PHI,EAST,ATLANTIC
Philadelphia 76ers,775,54.5,43-30 (under),2019,4,Philadelphia 76ers,PHI,EAST,ATLANTIC
Philadelphia 76ers,2000,53.5,51-31 (under),2018,4,Philadelphia 76ers,PHI,EAST,ATLANTIC
Philadelphia 76ers,19000,39.5,52-30 (over),2017,4,Philadelphia 76ers,PHI,EAST,ATLANTIC
Los Angeles Clippers,1600,45.5,42-40 (under),2021,21,Los Angeles Clippers,LAC,WEST,PACIFIC
Los Angeles Clippers,650,46.5,47-25 (over),2020,21,Los Angeles Clippers,LAC,WEST,PACIFIC
Los Angeles Clippers,425,53.5,49-23 (under),2019,21,Los Angeles Clippers,LAC,WEST,PACIFIC
Los Angeles Clippers,40000,37.0,48-34 (over),2018,21,Los Angeles Clippers,LAC,WEST,PACIFIC
Los Angeles Clippers,19000,43.5,42-40 (under),2017,21,Los Angeles Clippers,LAC,WEST,PACIFIC
Denver Nuggets,2200,47.5,48-34 (over),2021,16,Denver Nuggets,DEN,WEST,NORTHWEST
Denver Nuggets,1800,44.5,47-25 (over),2020,16,Denver Nuggets,DEN,WEST,NORTHWEST
Denver Nuggets,2000,53.0,46-27 (under),2019,16,Denver Nuggets,DEN,WEST,NORTHWEST
Denver Nuggets,20000,47.5,54-28 (over),2018,16,Denver Nuggets,DEN,WEST,NORTHWEST
Denver Nuggets,20000,45.5,46-36 (over),2017,16,Denver Nuggets,DEN,WEST,NORTHWEST
Dallas Mavericks,2800,48.5,52-30 (over),2021,24,Dallas Mavericks,DAL,WEST,SOUTHWEST
Dallas Mavericks,2500,42.5,42-30 (under),2020,24,Dallas Mavericks,DAL,WEST,SOUTHWEST
Dallas Mavericks,10500,40.5,43-32 (over),2019,24,Dallas Mavericks,DAL,WEST,SOUTHWEST
Dallas Mavericks,35000,35.5,33-49 (under),2018,24,Dallas Mavericks,DAL,WEST,SOUTHWEST
Dallas Mavericks,50000,35.5,24-58 (under),2017,24,Dallas Mavericks,DAL,WEST,SOUTHWEST
Atlanta Hawks,3500,47.5,43-39 (under),2021,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,10000,34.5,41-31 (over),2020,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,25000,33.5,20-47 (under),2019,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,150000,23.5,29-53 (over),2018,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Atlanta Hawks,200000,25.5,24-58 (under),2017,11,Atlanta Hawks,ATL,EAST,SOUTHEAST
Miami Heat,3500,48.5,53-29 (over),2021,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,1600,43.5,40-32 (under),2020,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,6000,43.5,44-29 (over),2019,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,35000,43.0,39-43 (under),2018,15,Miami Heat,MIA,EAST,SOUTHEAST
Miami Heat,24000,43.5,44-38 (over),2017,15,Miami Heat,MIA,EAST,SOUTHEAST
Boston Celtics,4000,45.5,51-31 (over),2021,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,1400,44.5,36-36 (under),2020,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,2900,48.5,48-24 (under),2019,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,620,59.0,49-33 (under),2018,1,Boston Celtics,BOS,EAST,ATLANTIC
Boston Celtics,1200,53.5,55-27 (over),2017,1,Boston Celtics,BOS,EAST,ATLANTIC
Portland Trail Blazers,5000,44.5,27-55 (under),2021,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,4000,40.5,42-30 (over),2020,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,3500,46.5,35-39 (under),2019,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,30000,42.0,53-29 (over),2018,19,Portland Trail Blazers,POR,WEST,NORTHWEST
Portland Trail Blazers,31500,42.5,49-33 (over),2017,19,Portland Trail Blazers,POR,WEST,NORTHWEST
New Orleans Pelicans,8000,39.5,36-46 (under),2021,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,6500,36.5,31-41 (under),2020,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,12500,37.5,30-42 (under),2019,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,10000,45.5,33-49 (under),2018,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New Orleans Pelicans,22000,39.5,48-34 (over),2017,27,New Orleans Pelicans,NOP,WEST,SOUTHWEST
New York Knicks,8000,41.5,37-45 (under),2021,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,50000,21.5,41-31 (over),2020,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,100000,26.5,21-45 (under),2019,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,35000,28.5,17-65 (under),2018,3,New York Knicks,NYK,EAST,ATLANTIC
New York Knicks,100000,30.5,29-53 (under),2017,3,New York Knicks,NYK,EAST,ATLANTIC
Memphis Grizzlies,10000,41.5,56-26 (over),2021,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,15000,31.5,38-34 (over),2020,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,100000,27.5,34-39 (over),2019,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,65000,34.5,33-49 (under),2018,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Memphis Grizzlies,37000,37.5,22-60 (under),2017,26,Memphis Grizzlies,MEM,WEST,SOUTHWEST
Indiana Pacers,10000,42.5,25-57 (under),2021,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,10000,38.5,34-38 (under),2020,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,5000,46.5,45-28 (under),2019,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,12500,47.5,48-34 (over),2018,9,Indiana Pacers,IND,EAST,CENTRAL
Indiana Pacers,125000,31.5,48-34 (over),2017,9,Indiana Pacers,IND,EAST,CENTRAL
Toronto Raptors,10000,35.5,48-34 (over),2021,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,2500,42.5,27-45 (under),2020,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,5500,46.5,53-19 (over),2019,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,1850,55.5,58-24 (over),2018,5,Toronto Raptors,TOR,EAST,ATLANTIC
Toronto Raptors,15000,48.5,59-23 (over),2017,5,Toronto Raptors,TOR,EAST,ATLANTIC
Charlotte Hornets,10000,38.5,43-39 (over),2021,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,25000,26.5,33-39 (over),2020,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,200000,23.5,23-42 (under),2019,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,50000,35.5,39-43 (over),2018,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Charlotte Hornets,50000,42.5,36-46 (under),2017,12,Charlotte Hornets,CHA,EAST,SOUTHEAST
Chicago Bulls,12500,42.5,46-36 (over),2021,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,25000,29.5,31-41 (over),2020,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,42500,33.5,22-43 (under),2019,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,50000,30.0,22-60 (under),2018,6,Chicago Bulls,CHI,EAST,CENTRAL
Chicago Bulls,250000,22.0,27-55 (over),2017,6,Chicago Bulls,CHI,EAST,CENTRAL
Washington Wizards,15000,33.5,35-47 (over),2021,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,10000,32.5,34-38 (over),2020,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,125000,27.0,25-47 (under),2019,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,11000,45.5,32-50 (under),2018,14,Washington Wizards,WAS,EAST,SOUTHEAST
Washington Wizards,9000,48.5,43-39 (under),2017,14,Washington Wizards,WAS,EAST,SOUTHEAST
Sacramento Kings,25000,36.5,30-52 (under),2021,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,25000,28.5,31-41 (over),2020,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,15000,37.5,31-41 (under),2019,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,200000,26.0,39-43 (over),2018,23,Sacramento Kings,SAC,WEST,PACIFIC
Sacramento Kings,125000,27.5,27-55 (under),2017,23,Sacramento Kings,SAC,WEST,PACIFIC
San Antonio Spurs,25000,28.5,34-48 (over),2021,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,25000,28.5,33-39 (over),2020,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,6000,46.5,32-39 (under),2019,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,10000,43.5,48-34 (over),2018,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
San Antonio Spurs,1800,55.0,47-35 (under),2017,28,San Antonio Spurs,SAS,WEST,SOUTHWEST
Minnesota Timberwolves,25000,35.5,46-36 (over),2021,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,20000,29.5,23-49 (under),2020,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,50000,35.5,19-45 (under),2019,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,25000,41.5,36-46 (under),2018,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Minnesota Timberwolves,5000,48.5,47-35 (under),2017,17,Minnesota Timberwolves,MIN,WEST,NORTHWEST
Cleveland Cavaliers,50000,26.5,44-38 (over),2021,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,50000,22.5,22-50 (under),2020,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,150000,24.5,19-46 (under),2019,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,50000,30.5,19-63 (under),2018,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Cleveland Cavaliers,515,53.5,50-32 (under),2017,7,Cleveland Cavaliers,CLE,EAST,CENTRAL
Orlando Magic,50000,22.5,22-60 (under),2021,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,20000,31.5,21-51 (under),2020,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,20000,41.5,33-40 (under),2019,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,75000,31.0,42-40 (over),2018,13,Orlando Magic,ORL,EAST,SOUTHEAST
Orlando Magic,250000,33.5,25-57 (under),2017,13,Orlando Magic,ORL,EAST,SOUTHEAST
Oklahoma City Thunder,50000,23.5,24-58 (over),2021,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,20000,22.5,22-50 (under),2020,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,25000,32.5,44-28 (over),2019,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,3800,48.5,49-33 (over),2018,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Oklahoma City Thunder,2150,53.5,48-34 (under),2017,18,Oklahoma City Thunder,OKC,WEST,NORTHWEST
Detroit Pistons,50000,24.5,23-59 (under),2021,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,50000,23.5,20-52 (under),2020,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,25000,37.5,20-46 (under),2019,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,35000,38.5,41-41 (over),2018,8,Detroit Pistons,DET,EAST,CENTRAL
Detroit Pistons,63000,38.5,39-43 (over),2017,8,Detroit Pistons,DET,EAST,CENTRAL
Houston Rockets,50000,27.5,20-62 (under),2021,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,5000,34.5,17-55 (under),2020,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,700,54.0,44-28 (under),2019,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,1000,56.5,53-29 (under),2018,25,Houston Rockets,HOU,WEST,SOUTHWEST
Houston Rockets,2150,55.5,65-17 (over),2017,25,Houston Rockets,HOU,WEST,SOUTHWEST
